School Name,State Name [Public School] Latest available year,Latitude [Public School] 2019-20,Longitude [Public School] 2019-20,Charter School [Public School] 2019-20,Magnet School [Public School] 2019-20,Total Students All Grades (Includes AE) [Public School] 2019-20,Free and Reduced Lunch Students [Public School] 2019-20,State Abbr [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2019-20,Location Address 1 [Public School] 2019-20,Location Address 2 [Public School] 2019-20,Location City [Public School] 2019-20,Location State Abbr [Public School] 2019-20,Location ZIP [Public School] 2019-20,Location ZIP4 [Public School] 2019-20,Agency Type [District] 2019-20,School Level (SY 2017-18 onward) [Public School] 2019-20,American Indian/Alaska Native Students [Public School] 2019-20,Asian or Asian/Pacific Islander Students [Public School] 2019-20,Hispanic Students [Public School] 2019-20,Black or African American Students [Public School] 2019-20,White Students [Public School] 2019-20,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2019-20,Two or More Races Students [Public School] 2019-20,Total Race/Ethnicity [Public School] 2019-20,Full-Time Equivalent (FTE) Teachers [Public School] 2019-20,Pupil/Teacher Ratio [Public School] 2019-20
BONHAM EL,Texas,29.687680,-95.519647,2-No,2-No,965,947,TX ,482364002402,HOUSTON ISD,8302 BRAES RIVER DR,†,HOUSTON,TX ,77074,4212,†,Elementary,1,12,796,141,13,0,2,965,59,16.36
BONNER EL,Texas,29.676505,-95.260154,2-No,2-No,772,716,TX ,482364002403,HOUSTON ISD,8100 ELROD ST,†,HOUSTON,TX ,77017,5216,†,Elementary,2,8,742,11,8,0,1,772,46.43,16.63
BRAEBURN EL,Texas,29.653218,-95.529156,2-No,2-No,596,584,TX ,482364002405,HOUSTON ISD,7707 RAMPART ST,†,HOUSTON,TX ,77081,7105,†,Elementary,0,2,542,45,5,0,2,596,32,18.63
BRIARGROVE EL,Texas,29.749385,-95.490899,2-No,2-No,904,293,TX ,482364002406,HOUSTON ISD,6145 SAN FELIPE ST,†,HOUSTON,TX ,77057,2899,†,Elementary,3,182,272,90,321,1,35,904,47.29,19.12
BRIARMEADOW CHARTER,Texas,29.726048,-95.512583,2-No,2-No,619,331,TX ,482364008611,HOUSTON ISD,3601 DUNVALE,†,HOUSTON,TX ,77063,5707,†,Elementary,2,141,202,60,179,1,34,619,37.82,16.37
BRISCOE EL,Texas,29.729724,-95.297951,2-No,2-No,271,252,TX ,482364002407,HOUSTON ISD,321 FOREST HILL,†,HOUSTON,TX ,77011,4801,†,Elementary,1,0,265,2,3,0,0,271,19.82,13.67
BROOKLINE EL,Texas,29.697999,-95.315038,2-No,2-No,877,875,TX ,482364002409,HOUSTON ISD,6301 S LOOP E,†,HOUSTON,TX ,77087,1933,†,Elementary,0,2,845,21,9,0,0,877,53.83,16.29
BROWNING EL,Texas,29.797117,-95.378374,2-No,2-No,531,489,TX ,482364002410,HOUSTON ISD,607 NORTHWOOD ST,†,HOUSTON,TX ,77009,4510,†,Elementary,0,1,502,14,13,0,1,531,29.82,17.81
BRUCE EL,Texas,29.766889,-95.342069,2-No,1-Yes,435,424,TX ,482364002411,HOUSTON ISD,510 JENSEN DR,†,HOUSTON,TX ,77020,5834,†,Elementary,0,4,131,296,0,0,4,435,29.54,14.73
BURBANK EL,Texas,29.845218,-95.373043,2-No,1-Yes,911,879,TX ,482364002412,HOUSTON ISD,216 TIDWELL,†,HOUSTON,TX ,77022,2046,†,Elementary,2,4,775,116,13,0,1,911,55.5,16.41
BURBANK MIDDLE,Texas,29.838473,-95.370528,2-No,1-Yes,1538,1479,TX ,482364002413,HOUSTON ISD,315 BERRY RD,†,HOUSTON,TX ,77022,3209,†,Middle,3,1,1451,71,12,0,0,1538,79.82,19.27
BURNET EL,Texas,29.745997,-95.317873,2-No,2-No,446,416,TX ,482364002414,HOUSTON ISD,5403 CANAL ST,†,HOUSTON,TX ,77011,2307,†,Elementary,0,1,430,7,8,0,0,446,28,15.93
BURRUS EL,Texas,29.817278,-95.390304,2-No,1-Yes,373,359,TX ,482364002415,HOUSTON ISD,701 E 33RD ST,†,HOUSTON,TX ,77022,5101,†,Elementary,1,0,117,249,5,0,1,373,22,16.95
BUSH EL,Texas,29.759422,-95.631912,2-No,2-No,894,161,TX ,482364001308,HOUSTON ISD,13800 WESTERLOCH DR,†,HOUSTON,TX ,77077,,†,Elementary,3,360,215,80,212,0,24,894,44,20.32
CAGE EL,Texas,29.734833,-95.333742,2-No,2-No,515,460,TX ,482364005999,HOUSTON ISD,4528 LEELAND ST,†,HOUSTON,TX ,77023,3047,†,Elementary,1,4,488,12,9,0,1,515,31,16.61
CARNEGIE VANGUARD H S,Texas,29.754301,-95.385158,2-No,1-Yes,854,259,TX ,482364009273,HOUSTON ISD,1501 TAFT,†,HOUSTON,TX ,77019,4507,†,High,1,255,282,88,191,3,34,854,35,24.4
CARRILLO EL,Texas,29.728441,-95.310792,2-No,1-Yes,533,456,TX ,482364004598,HOUSTON ISD,960 S WAYSIDE DR,†,HOUSTON,TX ,77023,3412,†,Elementary,0,1,510,9,12,0,1,533,31.32,17.02
CHALLENGE EARLY COLLEGE H S,Texas,29.721540,-95.457213,2-No,1-Yes,473,344,TX ,482364009609,HOUSTON ISD,5601 W LOOP S,†,HOUSTON,TX ,77081,2221,†,High,1,24,346,56,42,0,4,473,18.18,26.02
CHAVEZ H S,Texas,29.686956,-95.254541,2-No,1-Yes,2784,2488,TX ,482364008815,HOUSTON ISD,8501 HOWARD,†,HOUSTON,TX ,77017,3829,†,High,2,110,2386,257,24,4,1,2784,146.77,18.97
CLIFTON MIDDLE,Texas,29.842453,-95.479228,2-No,1-Yes,622,586,TX ,482364005497,HOUSTON ISD,6001 GOLDEN FOREST DR,†,HOUSTON,TX ,77092,2359,†,Middle,0,6,490,99,22,0,5,622,39.69,15.67
CODWELL EL,Texas,29.634065,-95.345716,2-No,1-Yes,401,367,TX ,482364002420,HOUSTON ISD,5225 TAVENOR LN,†,HOUSTON,TX ,77048,1701,†,Elementary,1,0,26,368,4,2,0,401,29.82,13.45
COMMUNITY SERVICES-SEC,Texas,29.732231,-95.328449,2-No,2-No,138,68,TX ,482364006270,HOUSTON ISD,1102 TELEPHONE RD,†,HOUSTON,TX ,77023,3126,†,Other,1,3,72,43,15,0,4,138,34.48,4
CONDIT EL,Texas,29.703866,-95.467227,2-No,2-No,785,303,TX ,482364002423,HOUSTON ISD,7000 S THIRD,†,BELLAIRE,TX ,77401,4496,†,Elementary,1,159,275,54,260,2,34,785,44.82,17.51
COOK JR EL,Texas,29.824260,-95.319290,2-No,1-Yes,653,646,TX ,482364010748,HOUSTON ISD,7115 LOCKWOOD,†,HOUSTON,TX ,77016,7027,†,Elementary,2,1,242,387,18,0,3,653,40.01,16.32
COOP EL,Texas,29.858362,-95.348486,2-No,2-No,739,706,TX ,482364002428,HOUSTON ISD,10130 ALDINE WESTFIELD RD,†,HOUSTON,TX ,77093,5449,†,Elementary,0,0,649,74,13,0,3,739,44.12,16.75
CORNELIUS EL,Texas,29.677552,-95.294357,2-No,1-Yes,868,816,TX ,482364002429,HOUSTON ISD,7475 WESTOVER ST,†,HOUSTON,TX ,77087,6113,†,Elementary,1,7,723,127,6,0,4,868,44,19.73
CRESPO EL,Texas,29.699392,-95.288443,2-No,1-Yes,730,700,TX ,482364001348,HOUSTON ISD,7500 OFFICE CITY DR,†,HOUSTON,TX ,77012,4115,†,Elementary,0,3,720,4,3,0,0,730,45.5,16.04
CROCKETT EL,Texas,29.774061,-95.380482,2-No,1-Yes,562,363,TX ,482364002431,HOUSTON ISD,2112 CROCKETT ST,†,HOUSTON,TX ,77007,3923,†,Elementary,1,14,433,62,37,2,13,562,32.72,17.18
CULLEN MIDDLE,Texas,29.691046,-95.363975,2-No,2-No,367,358,TX ,482364002432,HOUSTON ISD,6900 SCOTT ST,†,HOUSTON,TX ,77021,4851,†,Middle,1,1,61,298,3,0,3,367,34.31,10.7
CUNNINGHAM EL,Texas,29.717932,-95.468818,2-No,2-No,702,667,TX ,482364002433,HOUSTON ISD,5100 GULFTON ST,†,HOUSTON,TX ,77081,2906,†,Elementary,2,27,550,105,18,0,0,702,40.82,17.2
DAVILA EL,Texas,29.713984,-95.284874,2-No,1-Yes,448,424,TX ,482364006864,HOUSTON ISD,7610 DAHLIA ST,†,HOUSTON,TX ,77012,3000,†,Elementary,0,0,439,5,4,0,0,448,26.96,16.62
DE CHAUMES EL,Texas,29.861169,-95.376792,2-No,2-No,854,814,TX ,482364002436,HOUSTON ISD,155 COOPER,†,HOUSTON,TX ,77076,2541,†,Elementary,0,0,844,4,5,0,1,854,47,18.17
DE ZAVALA EL,Texas,29.737320,-95.289285,2-No,1-Yes,571,521,TX ,482364002437,HOUSTON ISD,7521 AVE H,†,HOUSTON,TX ,77012,1199,†,Elementary,0,2,558,8,3,0,0,571,31.63,18.05
DEADY MIDDLE,Texas,29.704376,-95.278801,2-No,2-No,701,673,TX ,482364002435,HOUSTON ISD,2500 BROADWAY ST,†,HOUSTON,TX ,77012,3814,†,Middle,1,1,688,9,2,0,0,701,38.52,18.2
DEANDA EL,Texas,29.625106,-95.279632,2-No,2-No,696,666,TX ,482364012088,HOUSTON ISD,7980 ALMEDA GENOA RD,†,HOUSTON,TX ,77075,2006,†,Elementary,0,5,655,24,9,0,3,696,39,17.85
DEBAKEY H S FOR HEALTH PROF,Texas,29.705215,-95.408492,2-No,1-Yes,871,364,TX ,482364002483,HOUSTON ISD,2545 PRESSLER,†,HOUSTON,TX ,77030,3713,†,High,6,269,311,153,115,3,14,871,50,17.42
DOGAN EL,Texas,29.785050,-95.328370,2-No,2-No,616,612,TX ,482364002439,HOUSTON ISD,4202 LIBERTY RD,†,HOUSTON,TX ,77026,5824,†,Elementary,0,0,422,185,2,1,6,616,36.1,17.06
DURHAM EL,Texas,29.836031,-95.417114,2-No,1-Yes,626,364,TX ,482364002444,HOUSTON ISD,4803 BRINKMAN ST,†,HOUSTON,TX ,77018,2021,†,Elementary,0,3,380,74,161,0,8,626,35.13,17.82
DURKEE EL,Texas,29.866454,-95.392103,2-No,2-No,568,531,TX ,482364002445,HOUSTON ISD,7301 NORDLING,†,HOUSTON,TX ,77076,1636,†,Elementary,0,0,472,74,16,0,6,568,30.52,18.61
EAST EARLY COLLEGE H S,Texas,29.752013,-95.333571,2-No,1-Yes,457,394,TX ,482364011262,HOUSTON ISD,220 N MILBY ST,†,HOUSTON,TX ,77003,2708,†,High,1,12,427,13,3,1,0,457,19.99,22.86
EASTWOOD ACADEMY,Texas,29.735525,-95.328258,2-No,2-No,447,342,TX ,482364007928,HOUSTON ISD,1315 DUMBLE,†,HOUSTON,TX ,77023,1902,†,High,2,8,422,3,11,0,1,447,22.54,19.83
EDISON MIDDLE,Texas,29.742044,-95.300106,2-No,2-No,665,627,TX ,482364002447,HOUSTON ISD,6901 AVE I,†,HOUSTON,TX ,77011,2629,†,Middle,1,0,654,7,1,0,2,665,42.82,15.53
EL DAEP,Texas,29.781289,-95.306335,2-No,2-No,1,‡,TX ,482364012656,HOUSTON ISD,6411 LAREDO ST,†,HOUSTON,TX ,77020,4930,†,Elementary,0,0,0,1,0,0,0,1,3.82,0.26
ELIOT EL,Texas,29.781289,-95.306335,2-No,2-No,602,561,TX ,482364002449,HOUSTON ISD,6411 LAREDO ST,†,HOUSTON,TX ,77020,4930,†,Elementary,0,2,587,6,7,0,0,602,35.8,16.82
ELMORE EL,Texas,29.809235,-95.275528,2-No,2-No,656,652,TX ,482364012912,HOUSTON ISD,8200 TATE ST,†,HOUSTON,TX ,77028,5532,†,Elementary,0,0,354,289,11,0,2,656,37.43,17.53
ELROD EL,Texas,29.671477,-95.501674,2-No,1-Yes,780,753,TX ,482364002450,HOUSTON ISD,6230 DUMFRIES DR,†,HOUSTON,TX ,77096,4603,†,Elementary,3,27,572,167,10,0,1,780,45.01,17.33
EMERSON EL,Texas,29.726511,-95.534225,2-No,2-No,942,875,TX ,482364002451,HOUSTON ISD,9533 SKYLINE DR,†,HOUSTON,TX ,77063,5215,†,Elementary,1,68,608,148,114,1,2,942,48,19.63
ENERGIZED FOR EXCELLENCE ACADEMY ECC,Texas,29.720371,-95.497004,1-Yes,2-No,554,545,TX ,482364010742,HOUSTON ISD,6400 S W FWY,†,HOUSTON,TX ,77074,6801,†,Prekindergarten,0,26,305,217,4,0,2,554,21.32,25.98
ENERGIZED FOR EXCELLENCE ACADEMY EL,Texas,29.695460,-95.489507,1-Yes,2-No,1622,1569,TX ,482364007943,HOUSTON ISD,6201 BISSONNET,†,HOUSTON,TX ,77081,6809,†,Elementary,5,11,1415,183,7,0,1,1622,82.38,19.69
ENERGIZED FOR EXCELLENCE ACADEMY INC MIDDLE,Texas,29.695465,-95.489402,1-Yes,2-No,589,577,TX ,482364008610,HOUSTON ISD,6107 BISSONNET,†,HOUSTON,TX ,77081,6807,†,Middle,1,8,545,29,6,0,0,589,24.47,24.07
ENERGIZED FOR STEM ACADEMY SOUTHEAST H S,Texas,29.657819,-95.348089,1-Yes,2-No,307,300,TX ,482364012243,HOUSTON ISD,9220 JUTLAND RD,†,HOUSTON,TX ,77033,3905,†,High,0,2,283,20,2,0,0,307,16.94,18.12
ENERGIZED FOR STEM ACADEMY SOUTHEAST MIDDLE,Texas,29.691132,-95.507706,1-Yes,2-No,279,264,TX ,482364012609,HOUSTON ISD,7055 BEECHNUT,†,HOUSTON,TX ,77074,6003,†,Middle,1,8,249,12,9,0,0,279,11.57,24.11
ENERGIZED FOR STEM ACADEMY SOUTHWEST H S,Texas,29.657819,-95.348089,1-Yes,2-No,227,223,TX ,482364012269,HOUSTON ISD,9220 JUTLAND,†,HOUSTON,TX ,77081,3905,†,Secondary,0,2,215,10,0,0,0,227,9.39,24.17
ENERGIZED FOR STEM ACADEMY SOUTHWEST MIDDLE,Texas,29.691132,-95.507706,1-Yes,2-No,163,156,TX ,482364012383,HOUSTON ISD,7055 BEECHNUT,†,HOUSTON,TX ,77074,6003,†,Middle,0,0,145,17,1,0,0,163,9.54,17.09
ENERGY INSTITUTE H S,Texas,29.714550,-95.358791,2-No,1-Yes,741,358,TX ,482364013046,HOUSTON ISD,3501 SOUTHMORE BLVD,†,HOUSTON,TX ,77004,,†,High,2,27,363,206,133,0,10,741,40,18.53
FARIAS EARLY CHILDHOOD CENTER,Texas,29.865216,-95.391811,2-No,2-No,434,434,TX ,482364010743,HOUSTON ISD,515 E RITTENHOUSE,†,HOUSTON,TX ,77076,1607,†,Prekindergarten,1,3,419,8,3,0,0,434,23,18.87
FIELD EL,Texas,29.801252,-95.388827,2-No,2-No,434,328,TX ,482364002453,HOUSTON ISD,703 E 17TH ST,†,HOUSTON,TX ,77008,4414,†,Elementary,0,10,346,11,65,0,2,434,24,18.08
FLEMING MIDDLE,Texas,29.793130,-95.320753,2-No,1-Yes,438,421,TX ,482364002454,HOUSTON ISD,4910 COLLINGSWORTH ST,†,HOUSTON,TX ,77026,5150,†,Middle,1,0,151,283,2,0,1,438,31,14.13
FOERSTER EL,Texas,29.639195,-95.498373,2-No,2-No,757,751,TX ,482364002455,HOUSTON ISD,14200 FONMEADOW DR,†,HOUSTON,TX ,77035,5218,†,Elementary,2,19,266,452,13,0,5,757,50.32,15.04
FONDREN EL,Texas,29.628352,-95.498211,2-No,2-No,314,294,TX ,482364002456,HOUSTON ISD,12405 CARLSBAD ST,†,HOUSTON,TX ,77085,1224,†,Elementary,0,2,227,82,3,0,0,314,23.82,13.18
FONDREN MIDDLE,Texas,29.675307,-95.503862,2-No,1-Yes,1050,1008,TX ,482364002457,HOUSTON ISD,6333 S BRAESWOOD,†,HOUSTON,TX ,77096,3605,†,Middle,2,21,700,309,11,2,5,1050,52.73,19.91
FONVILLE MIDDLE,Texas,29.870810,-95.389471,2-No,2-No,726,721,TX ,482364002458,HOUSTON ISD,725 E LITTLE YORK RD,†,HOUSTON,TX ,77076,1626,†,Middle,4,1,660,46,14,0,1,726,48,15.13
FONWOOD EARLY CHILDHOOD CTR,Texas,29.854131,-95.264726,2-No,2-No,546,543,TX ,482364012945,HOUSTON ISD,9709 MESA DR,†,HOUSTON,TX ,77078,3005,†,Elementary,0,0,210,332,2,1,1,546,31,17.61
FOREST BROOK MIDDLE,Texas,29.850200,-95.293900,2-No,2-No,806,788,TX ,482364013060,HOUSTON ISD,7525 TIDWELL RD,†,HOUSTON,TX ,77016,4413,†,Middle,3,1,298,493,8,0,3,806,52.46,15.36
FOSTER EL,Texas,29.692299,-95.360895,2-No,2-No,458,453,TX ,482364002459,HOUSTON ISD,3919 WARD ST,†,HOUSTON,TX ,77021,4861,†,Elementary,0,1,50,399,2,1,5,458,24.82,18.45
FRANKLIN EL,Texas,29.739538,-95.298133,2-No,2-No,402,388,TX ,482364002460,HOUSTON ISD,7101 CANAL ST,†,HOUSTON,TX ,77011,2753,†,Elementary,0,0,397,4,1,0,0,402,24,16.75
FROST EL,Texas,29.620222,-95.336489,2-No,2-No,610,587,TX ,482364002461,HOUSTON ISD,5002 ALMEDA GENOA RD,†,HOUSTON,TX ,77048,4725,†,Elementary,1,0,170,427,2,0,10,610,30.46,20.03
FURR H S,Texas,29.779486,-95.249847,2-No,1-Yes,1125,1077,TX ,482364002462,HOUSTON ISD,520 MERCURY,†,HOUSTON,TX ,77013,5217,†,High,2,7,905,188,20,0,3,1125,62.02,18.14
GALLEGOS EL,Texas,29.733589,-95.292654,2-No,2-No,365,350,TX ,482364001373,HOUSTON ISD,7415 HARRISBURG BLVD,†,HOUSTON,TX ,77011,4740,†,Elementary,0,0,358,6,1,0,0,365,30,12.17
GARCIA EL,Texas,29.848901,-95.348273,2-No,2-No,550,540,TX ,482364001316,HOUSTON ISD,9550 ALDINE WESTFIELD RD,†,HOUSTON,TX ,77093,6211,†,Elementary,0,2,427,118,1,0,2,550,31.75,17.32
GARDEN OAKS MONTESSORI,Texas,29.822704,-95.413821,2-No,1-Yes,849,333,TX ,482364002463,HOUSTON ISD,901 SUE BARNETT DR,†,HOUSTON,TX ,77018,5415,†,Elementary,4,24,457,48,273,2,41,849,45.04,18.85
GARDEN VILLAS EL,Texas,29.661361,-95.303692,2-No,1-Yes,601,564,TX ,482364002464,HOUSTON ISD,7185 SANTA FE,†,HOUSTON,TX ,77061,2621,†,Elementary,1,0,448,140,9,0,3,601,36.53,16.45
GOLFCREST EL,Texas,29.688802,-95.295564,2-No,2-No,610,599,TX ,482364002466,HOUSTON ISD,7414 FAIRWAY DR,†,HOUSTON,TX ,77087,3623,†,Elementary,1,0,581,24,3,0,1,610,32.46,18.79
GREGG EL,Texas,29.673545,-95.308544,2-No,2-No,465,445,TX ,482364002469,HOUSTON ISD,6701 ROXBURY,†,HOUSTON,TX ,77087,5103,†,Elementary,0,0,367,89,4,1,4,465,26.82,17.34
GREGORY-LINCOLN ED CTR,Texas,29.756306,-95.385083,2-No,1-Yes,718,656,TX ,482364005495,HOUSTON ISD,1101 TAFT,†,HOUSTON,TX ,77019,4537,†,Elementary,3,6,236,446,23,0,4,718,45.02,15.95
GRISSOM EL,Texas,29.620428,-95.455033,2-No,2-No,523,486,TX ,482364002472,HOUSTON ISD,4900 SIMSBROOK DR,†,HOUSTON,TX ,77045,5321,†,Elementary,1,0,388,126,3,3,2,523,31,16.87
GROSS EL,Texas,29.639064,-95.528487,2-No,2-No,623,615,TX ,482364008612,HOUSTON ISD,12583 S GESSNER DR,†,HOUSTON,TX ,77071,2848,†,Elementary,0,11,319,276,13,0,4,623,32.5,19.17
H S AHEAD ACADEMY,Texas,29.844512,-95.402684,2-No,2-No,198,195,TX ,482364012602,HOUSTON ISD,5320 YALE,†,HOUSTON,TX ,77091,5730,†,Middle,1,0,80,113,1,1,2,198,13,15.23
H S FOR LAW AND JUSTICE,Texas,29.738435,-95.347253,2-No,1-Yes,467,390,TX ,482364005745,HOUSTON ISD,3503 COYLE,†,HOUSTON,TX ,77003,,†,High,1,4,355,93,11,0,3,467,26.5,17.62
HALPIN EARLY CHILDHOOD CTR,Texas,29.662352,-95.502831,2-No,2-No,439,433,TX ,482364007321,HOUSTON ISD,10901 SANDPIPER,†,HOUSTON,TX ,77096,5717,†,Elementary,1,3,297,130,5,1,2,439,27,16.26
HAMILTON MIDDLE,Texas,29.804505,-95.397999,2-No,1-Yes,1210,984,TX ,482364002474,HOUSTON ISD,139 E 20TH ST,†,HOUSTON,TX ,77008,2533,†,Middle,1,10,1070,93,30,1,5,1210,66,18.33
HARPER DAEP,Texas,29.829492,-95.411099,2-No,2-No,5,‡,TX ,482364011265,HOUSTON ISD,4425 N SHEPHERD,†,HOUSTON,TX ,77018,,†,Secondary,0,0,2,3,0,0,0,5,11,0.45
HARRIS CO J J A E P,Texas,29.684409,-95.417276,2-No,2-No,8,‡,TX ,482364007934,HOUSTON ISD,2525 MURWORTH,†,HOUSTON,TX ,77054,1603,†,Secondary,0,0,6,2,0,0,0,8,–,†
HARRIS J R EL,Texas,29.718712,-95.277378,2-No,2-No,427,427,TX ,482364002478,HOUSTON ISD,801 BROADWAY ST,†,HOUSTON,TX ,77012,2124,†,Elementary,0,0,418,9,0,0,0,427,25.92,16.47
HARRIS R P EL,Texas,29.769330,-95.221136,2-No,2-No,621,608,TX ,482364002479,HOUSTON ISD,1262 MAE DR,†,HOUSTON,TX ,77015,5515,†,Elementary,0,0,513,94,10,0,4,621,33.82,18.36
HARTMAN MIDDLE,Texas,29.673700,-95.302706,2-No,1-Yes,1260,1210,TX ,482364002480,HOUSTON ISD,7111 WESTOVER,†,HOUSTON,TX ,77087,5943,†,Middle,2,2,962,281,12,1,0,1260,70.27,17.93
